iter	Passed	Remaining
0	0	182
1	1	152
2	2	140
3	2	134
4	3	131
5	3	127
6	4	126
7	5	124
8	5	122
9	6	122
10	7	121
11	7	120
12	8	119
13	8	118
14	9	118
15	10	118
16	10	117
17	11	116
18	12	115
19	12	114
20	13	114
21	14	113
22	14	113
23	15	113
24	16	113
25	16	112
26	17	112
27	18	112
28	18	111
29	19	111
30	20	111
31	21	110
32	21	110
33	22	110
34	23	109
35	24	109
36	24	108
37	25	108
38	26	108
39	26	107
40	27	107
41	28	106
42	29	106
43	29	105
44	30	105
45	31	104
46	32	104
47	32	103
48	33	103
49	34	102
50	35	102
51	35	101
52	36	101
53	37	100
54	37	100
55	38	99
56	39	98
57	40	98
58	40	97
59	41	96
60	42	95
61	42	95
62	43	94
63	44	93
64	44	93
65	45	92
66	46	91
67	46	91
68	47	90
69	48	89
70	49	89
71	49	88
72	50	87
73	51	87
74	51	86
75	52	85
76	53	84
77	53	84
78	54	83
79	55	82
80	55	82
81	56	81
82	56	80
83	57	79
84	58	78
85	58	78
86	59	77
87	60	76
88	61	76
89	61	75
90	62	74
91	63	74
92	63	73
93	64	72
94	65	71
95	65	71
96	66	70
97	67	69
98	67	69
99	68	68
100	69	67
101	69	66
102	70	66
103	71	65
104	71	64
105	72	64
106	73	63
107	73	62
108	74	62
109	75	62
110	76	61
111	77	60
112	78	60
113	78	59
114	79	58
115	80	58
116	81	57
117	81	56
118	82	56
119	83	55
120	84	54
121	84	54
122	85	53
123	86	52
124	86	52
125	87	51
126	88	50
127	89	50
128	89	49
129	90	48
130	91	48
131	92	47
132	92	46
133	93	46
134	94	45
135	95	44
136	95	44
137	96	43
138	97	42
139	98	42
140	98	41
141	99	40
142	100	39
143	100	39
144	101	38
145	102	37
146	103	37
147	103	36
148	104	35
149	105	35
150	106	34
151	106	33
152	107	33
153	108	32
154	109	31
155	109	30
156	110	30
157	111	29
158	112	28
159	112	28
160	113	27
161	114	26
162	114	26
163	115	25
164	116	24
165	117	24
166	117	23
167	118	22
168	119	21
169	120	21
170	120	20
171	121	19
172	122	19
173	123	18
174	123	17
175	124	16
176	125	16
177	125	15
178	126	14
179	127	14
180	128	13
181	128	12
182	129	12
183	130	11
184	130	10
185	131	9
186	132	9
187	132	8
188	133	7
189	134	7
190	135	6
191	135	5
192	136	4
193	137	4
194	137	3
195	138	2
196	139	2
197	139	1
198	140	0
199	141	0
